Qs,Jas,Prl,g/gen,SurfaceTension
0.6829017033869965,5.618279569892473,4.83,0.01,1.79
0.7340031913955474,5.739288668320927,4.83,0.01,1.79
0.7649737901886084,5.912158808933003,4.83,0.01,1.79
0.9167297242746075,6.015880893300248,4.83,0.01,1.79
1.0499032990847703,6.2751861042183625,4.83,0.01,1.79
1.1397180355846472,6.448056244830438,4.83,0.01,1.79
1.18152834395528,6.534491315136476,4.83,0.01,1.79
1.3208960385240545,6.776509511993384,4.83,0.01,1.79
1.4943313917651966,6.79379652605459,4.83,0.01,1.79
1.7188682330148892,7.312406947890818,4.83,0.01,1.79
1.9201771251697863,7.51985111662531,4.83,0.01,1.79
2.1090977778074587,7.848304383788255,4.83,0.01,1.79
2.222140463402132,8.073035566583954,4.83,0.01,1.79
2.3940272867036207,8.280479735318446,4.83,0.01,1.79
2.5256523315741304,8.401488833746898,4.83,0.01,1.79
2.6758597357204765,8.799090157154673,4.83,0.01,1.79
2.8523921488409245,8.937386269644335,4.83,0.01,1.79
3.15435548707327,9.749875930521092,4.83,0.01,1.79
0.5683104878526707,5.220678246484698,4.83,1.0,1.79
0.8532399967488326,5.894871794871795,4.83,1.0,1.79
1.045257709265811,6.102315963606286,4.83,1.0,1.79
1.2078533529293818,6.534491315136476,4.83,1.0,1.79
1.424647544480809,6.5863523573200995,4.83,1.0,1.79
1.858235927583664,7.623573200992555,4.83,1.0,1.79
2.079675708954051,8.10760959470637,4.83,1.0,1.79
2.3274404992985396,8.384201819685691,4.83,1.0,1.79
2.5860449992205994,8.505210918114145,4.83,1.0,1.79
2.849295088961618,9.110256410256412,4.83,1.0,1.79
3.0428613314182504,9.179404466501241,4.83,1.0,1.79
0.7914053073534395,4.888888888888889,3.91,2.0,1.79
0.9089961902856722,5.1158730158730155,3.91,2.0,1.79
1.0172544634613785,5.1682539682539685,3.91,2.0,1.79
1.1591101317605799,4.976190476190476,3.91,2.0,1.79
1.3214975415241395,5.325396825396825,3.91,2.0,1.79
1.3756266781119926,5.29047619047619,3.91,2.0,1.79
1.5268149561677207,5.342857142857143,3.91,2.0,1.79
1.7153336732495539,6.023809523809524,3.91,2.0,1.79
1.9393163074061879,6.023809523809524,3.91,2.0,1.79
2.2230276440045906,6.18095238095238,3.91,2.0,1.79
2.4955398488951617,6.425396825396826,3.91,2.0,1.79
2.611264209876089,6.652380952380953,3.91,2.0,1.79
2.7680520537857327,6.826984126984128,3.91,2.0,1.79
2.930439463549293,6.984126984126984,3.91,2.0,1.79
3.1562886196572313,7.368253968253969,3.91,2.0,1.79
3.344807336739065,7.542857142857144,3.91,2.0,1.79
3.8263700001758276,8.031746031746032,3.91,2.0,1.79
0.6565766944128947,5.13424317617866,4.83,2.0,1.79
0.754134080611037,5.358974358974359,4.83,2.0,1.79
0.8439488171109142,5.393548387096774,4.83,2.0,1.79
1.0963591972743618,5.600992555831265,4.83,2.0,1.79
1.1412665655243004,5.428122415219189,4.83,2.0,1.79
1.2666974906361979,5.618279569892473,4.83,2.0,1.79
1.4230990145411562,6.2751861042183625,4.83,2.0,1.79
1.6089226072995229,6.2751861042183625,4.83,2.0,1.79
1.8442991581267865,6.430769230769231,4.83,2.0,1.79
2.0703845293161325,6.638213399503722,4.83,2.0,1.79
2.166393385574622,6.862944582299422,4.83,2.0,1.79
2.2964699005054783,7.070388751033913,4.83,2.0,1.79
2.4311920052552938,7.191397849462366,4.83,2.0,1.79
2.6185641279533134,7.588999172870141,4.83,2.0,1.79
2.7749656518582717,7.779156327543424,4.83,2.0,1.79
3.1744863762887596,8.280479735318446,4.83,2.0,1.79
1.3069462150083164,7.209891936824605,4.54,1.0,0.0
1.2051062502024734,7.0361596009975065,4.54,1.0,0.0
1.120239612864271,6.862427265170408,4.54,1.0,0.0
1.0523463029937092,6.688694929343308,4.54,1.0,0.0
0.7128797536408998,5.906899418121363,4.54,1.0,0.0
1.0183996480584283,6.514962593516209,4.54,1.0,0.0
0.899586355784945,6.42809642560266,4.54,1.0,0.0
1.1102959667312393,6.2924731182795695,4.83,0.01,1.71
1.2620519008172386,6.65550041356493,4.83,0.01,1.71
1.4045166552653197,6.828370554177006,4.83,0.01,1.71
1.599631427661604,7.191397849462366,4.83,0.01,1.71
1.8117800293940725,7.450703060380479,4.83,0.01,1.71
2.146262496359132,7.848304383788255,4.83,0.01,1.71
2.5039729124189876,8.280479735318446,4.83,0.01,1.71
3.213199624780086,8.799090157154673,4.83,0.01,1.71
