HeatFlux,Superheat,g,SurfaceTension,p,Tsat,cpl,hlv,ul,Prl,rhol,rhov,sigma,Qs,Jas,g/gen
50.9,37.2,0.098,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,0.7882017392834042,6.430769230769231,0.01
75.1,37.7,0.098,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,1.1629459846794432,6.517204301075269,0.01
99.2,39.7,0.098,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,1.536141700135829,6.862944582299422,0.01
147.7,47.2,0.098,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,2.2871787208675602,8.159470636889992,0.01
172.1,49.7,9.8,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,2.6650200261429053,8.591645988420183,1.0
49.2,29.6,19.6,1.79,9.5,45.0,4.18,2394.0,0.000596,3.91,990.0,0.182,0.0688,0.9183288000421986,5.1682539682539685,2.0
71.6,30.0,19.6,1.79,9.5,45.0,4.18,2394.0,0.000596,3.91,990.0,0.182,0.0688,1.3364297171345818,5.238095238095238,2.0
129.8,36.4,19.6,1.79,9.5,45.0,4.18,2394.0,0.000596,3.91,990.0,0.182,0.0688,2.422745492794256,6.355555555555555,2.0
173.8,42.8,19.6,1.79,9.5,45.0,4.18,2394.0,0.000596,3.91,990.0,0.182,0.0688,3.24401515136858,7.473015873015872,2.0
68.7,32.1,19.6,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,1.0638400685416476,5.549131513647644,2.0
128.5,38.0,19.6,1.79,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,1.9898609724541738,6.569065343258892,2.0
69.0,40.1,9.8,0.0,7.0,38.0,4.18,2406.0,0.000653,4.54,993.0,0.0476,0.0692,1.1711595952671925,6.966666666666667,1.0
58.2,37.1,9.8,0.0,7.0,38.0,4.18,2406.0,0.000653,4.54,993.0,0.0476,0.0692,0.9878476586166756,6.44546965918537,1.0
100.3,41.2,0.098,1.71,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,1.5531755294720124,7.122249793217536,0.01
156.9,47.4,0.098,1.71,5.5,34.9,4.18,2418.0,0.000719,4.83,994.0,0.0397,0.0706,2.429643475315641,8.194044665012408,0.01
